Uni	Rang	Link
Arizona State University	33	http://chemistry.asu.edu/
Auburn University	100	http://www.auburn.edu/cosam/departments/chemistry/index.htm
Baylor University	95	http://www.baylor.edu/chemistry
Boston College	26	http://www.bc.edu/chemistry
Boston University	52	http://www.bu.edu/chemistry
Brandeis University	43	http://www.chem.brandeis.edu/
Brigham Young University	75	http://www.chem.byu.edu/
Brown University	33	http://www.chem.brown.edu/grad/
California Institute of Technology 	2	http://www.cce.caltech.edu/
Carnegie Mellon University	34	http://www.chem.cmu.edu/grad/index.html
Case Western Reserve University	56	http://www.case.edu/artsci/chem
City University of New York	84	http://www.web.gc.cuny.edu/chemistry
Clark University	153	http://www.clarku.edu/departments/chemistry/graduate/index.cfm
Clemson University	60	http://chemistry.clemson.edu/
Colorade State University	70	http://www.chm.colostate.edu
Columbia University	6	http://www.columbia.edu/cu/chemistry/
Cornell University	11	http://www.chem.cornell.edu/
Dartmouth College	60	http://www.dartmouth.edu/~chem/grad/
Drexel University	113	http://www.drexel.edu/catalog/doctorate/chem.htm
Duke University	28	http://www.chem.duke.edu
Duquesne University	101	http://www.science.duq.edu/chemistry/index.html
Emory University	31	http://www.chemistry.emory.edu/graduate/index.html
Florida Atlantic University	126	http://www.science.fau.edu/chemistry/
Florida Institute of Technology	147	http://cos.fit.edu/chemistry/
Florida International University	71	http://www.fiu.edu/orgs/chemistry/
Florida State University	46	http://www.chem.fsu.edu
George Washington University	76	http://www.gwu.edu/~gwchem
Georgetown University	83	http://www8.georgetown.edu/departments/chemistry/
Georgia Institute of Technology	10	http://www.chemistry.gatech.edu/
Georgia State University	82	http://chemistry.gsu.edu/School/grad-info.php
Harvard University	1	http://www.chem.harvard.edu/
Howard University	95	http://www.chem.howard.edu
Illinoise Institute of Technology	118	http://www.iit.edu/csl/che/programs/grad/phdc.shtml
Indiana University at Bloomington	27	http://www.chem.indiana.edu/
Indiana University Purdue University Indianapolis	129	http://www.chem.iupui.edu
Iowa State University	47	http://www.chem.iastate.edu/
Johns Hopkins University	47	http://www.chemistry.jhu.edu
Kansas State University	59	http://www.k-state.edu/chem/grad/index.html
Kent State University	103	http://dept.kent.edu/chemistry/
Lehigh University	117	http://www.lehigh.edu/~inche/
Louisiana State University	40	http://chemistry.lsu.edu/
Loyola University Chicago	132	http://www.luc.edu/chemistry/index.shtml
Marquette University	78	http://www.marquette.edu/chem/graduate.shtml
Massachusetts Institute of Technology	5	http://web.mit.edu/chemistry/www/index.html
Miami University	118	http://www.cas.muohio.edu/chm
Michigan State University	23	http://www.chemistry.msu.edu
Michigan Technological University	91	http://chemistry.mtu.edu/
Mississippi State University	53	http://www.msstate.edu/dept/chemistry/
Montana State University at Bozeman	126	http://www.chemistry.montana.edu
New Jersey Institute of Technology	168	http://catalog.njit.edu/graduate/programs/chemistry.php#degree2
New Mexico State University	75	http://www.chemistry.nmsu.edu/
New York University	36	http://chemistry.fas.nyu.edu/page/home
North Carolina State University	28	http://www.ncsu.edu/chemistry/index.html
North Dakota State University	105	http://www.chem.ndsu.nodak.edu/
Northeastern University	48	http://www.chem.neu.edu/web/
Northern Illinois University	103	http://www.chembio.niu.edu
Northwestern University	4	http://www.chem.northwestern.edu/
Ohio State University	16	http://www.chemistry.ohio-state.edu/
Ohio University	171	http://www.ohio.edu/chemistry
Oklahoma State University	168	http://chemistry.okstate.edu/
Oregon State University	65	http://www.chemistry.oregonstate.edu
Pennsylvania State University	6	http://www.chem.psu.edu
Princeton University	17	http://www.princeton.edu/~chemdept/
Purdue University	7	http://www.chem.purdue.edu
Rensselaer Polytechnic Institute	104	http://www.rpi.edu/dept/chem
Rice University	32	http://www.chem.rice.edu/
Rutgers The State University	57	http://rutchem.rutgers.edu/
San Diego State University	134	http://www.chemistry.sdsu.edu/
Southern Illinois University	110	http://www.science.siu.edu/chemistry/index.html
Stanford University	5	http://www.stanford.edu/dept/chemistry/
State University of New York at Albany	126	http://www.albany.edu/chemistry
State University of New York at Binghamton	81	http://chemistry.binghamton.edu/
State University of New York at Buffalo	43	http://www.chem.buffalo.edu
State University of New York at Stony Brook	19	http://www.sunysb.edu/chemistry
Syracuse University	64	http://www-che.syr.edu/
Temple University	86	http://www.temple.edu/chemistry
Texas A & M University	17	http://www.chem.tamu.edu
Texas Christian University	143	http://www.chm.tcu.edu
Texas Tech University	55	http://www.depts.ttu.edu/chemistry/
Tufts University	55	http://www.chem.tufts.edu/grad.html
Tulane University	102	http://chem.tulane.edu
University of Akron	109	http://www.uakron.edu/colleges/artsci/depts/chemistry/
University of Alabama	37	http://www.bama.ua.edu/~chem/
University of Alabama at Birmingham	74	http://www.chem.uab.edu
University of Arizona	23	http://www.chem.arizona.edu
University of Arkansas	49	http://www.uark.edu/depts/cheminfo/uarkchem/
University of California at Berkeley	1	http://chem.berkeley.edu
University of California at Davis	18	http://www.chem.ucdavis.edu
University of California at Irvine	14	http://www.chem.uci.edu
University of California at Los Angeles	10	http://www.chem.ucla.edu
University of California at Riverside	47	http://www.chem.ucr.edu
University of California at San Diego	8	http://www-chem.ucsd.edu
University of California at San Francisco	18	http://www.ucsf.edu/ccb/
University of California at Santa Barbara	16	http://www.chem.ucsb.edu
University of California at Santa Cruz	71	http://www.chemistry.ucsc.edu/graduate/index.html
University of Chicago	12	http://chemistry.uchicago.edu
University of Cincinnati	71	http://www.che.uc.edu
University of Colorado at Boulder	9	http://www.colorado.edu/chemistry
University of Connecticut	76	http://www.chemistry.uconn.edu/graduate_studies.html
University of Delaware	53	http://www.udel.edu/chem/
University of Florida	17	http://www.chem.ufl.edu
University of Georgia	23	http://www.chem.uga.edu
University of Hawaii	107	http://www.chem.hawaii.edu/
University of Houston	61	http://www.chem.uh.edu/
University of Idaho	113	http://www.chem.uidaho.edu
University of Illinois at Chicago	31	http://www.chem.uic.edu
University of Illinois at Urbana Champaign	3	http://www.chemistry.uiuc.edu
University of Iowa	45	http://www.chem.uiowa.edu
University of Kansas	52	http://www.chem.ku.edu
University of Kentucky	30	http://www.chem.uky.edu/
University of Louisville	76	http://louisville.edu/a-s/chemistry/
University of Maryland Baltimore County	89	http://www.umbc.edu/chem/
University of Maryland College Park	32	http://www.chem.umd.edu/
University of Massachusetts at Amherst	37	http://www.chem.umass.edu/
University of Memphis	148	http://www.chem.memphis.edu
University of Miami	38	http://www.as.miami.edu/chemistry/
University of Michigan	11	http://www.umich.edu/~michchem
University of Minnesota	13	http://www.chem.umn.edu
University of Mississippi	101	http://www.olemiss.edu/depts/chemistry/
University of Missouri at Columbia	76	http://chemistry.missouri.edu/grad/grad.html
University of Missouri at Kansas City	99	http://www.umkc.edu/umkc/catalog-grad/html/sgs/0520.html
University of Missouri at Rolla	130	http://chem.umr.edu/
University of Missouri at Saint Louis	131	http://www.umsl.edu/chemistry
University of Montana at Missoula	66	http://www.umt.edu/chemistry/
University of Nebraska	57	http://www.chem.unl.edu
University of Nevada at Reno	87	http://www.chem.unr.edu/graduates/
University of New Hampshire	62	http://www.unh.edu/chemistry/
University of New Mexico	50	http://chemistry.unm.edu
University of North Carolina at Chapel Hill	5	http://www.chem.unc.edu
University of North Texas	145	http://www.chem.unt.edu
University of Notre Dame	36	http://chemistry.nd.edu/
University of Oklahoma	56	http://cheminfo.ou.edu
University of Oregon	51	http://chemistry.uoregon.edu
University of Pennsylvania	16	http://www.sas.upenn.edu/chem
University of Pittsburgh	18	http://www.chem.pitt.edu
University of Rhode Island	134	http://www.chm.uri.edu
University of Rochester	51	http://www.chem.rochester.edu/
University of South Carolina	26	http://www.chem.sc.edu/
University of South Florida	66	http://www.cas.usf.edu/chemistry
University of Southern California	40	http://chem.usc.edu/
University of Southern Mississippi	77	www.usm.edu/chem
University of Tennessee	57	http://www.chem.utk.edu
University of Texas at Austin	7	http://www.cm.utexas.edu
University of Texas at Dallas	83	http://www.utdallas.edu/chemistry
University of Toledo	119	http://www.chem.utoledo.edu
University of Utah	22	http://www.chem.utah.edu
University of Vermont	56	http://www.uvm.edu/~chem/
University of Virginia	39	http://www.virginia.edu/chem
University of Washington	12	http://depts.washington.edu/chem/
University of Wisconsin at Madison	8	http://www.chem.wisc.edu
University of Wisconsin at Milwaukee	67	http://www.uwm.edu/Dept/Chemistry/
Utah State University	126	http://www.chem.usu.edu/
Vanderbilt University	30	http://www.vanderbilt.edu/AnS/Chemistry/home/index.php
Virginia Commonwealth University	101	http://www.has.vcu.edu/che/
Virginia Polytechnic Institute and State University	71	http://www.chem.vt.edu/
Wake Forest University	131	http://www.wfu.edu/chemistry/
Washington State University	46	http://www.chem.wsu.edu/
Washington University at St. Louis 	32	http://www.chemistry.wustl.edu
Wayne State University	40	http://www.chem.wayne.edu
Western Michigan University	65	http://www.wmich.edu/chemistry
Yale University	7	http://www.chem.yale.edu/
